City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
307,chibougamau,49.9168,-74.3659,276.94,75,100,5.14,CA,1684027848
308,lazaro cardenas,17.9583,-102.2,300.29,64,0,3.87,MX,1684027922
309,kone,-21.0595,164.8658,298.42,65,99,4.19,NC,1684027922
310,balcesti,44.6167,23.95,284.88,69,100,4.14,RO,1684027923
311,kolonia town,6.964,158.206,305.15,70,100,3.6,FM,1684027924
312,sola,-13.8833,167.55,298.6,86,100,9.81,VU,1684027925
313,chlef,36.1652,1.3345,288.33,67,0,3.09,DZ,1684027925
314,carloforte,39.145,8.3058,288.96,78,7,6.29,IT,1684027926
315,yung shue wan,22.2333,114.1167,295.69,89,100,4.74,HK,1684027926
316,along,28.1667,94.7667,295.1,61,100,0.84,IN,1684027722
317,kourou,5.1552,-52.6478,297.18,92,100,2.62,GF,1684027927
318,miyako,39.6367,141.9525,289.08,74,100,6.5,JP,1684027928
319,smithers,54.7804,-127.1743,295.33,35,75,2.57,CA,1684027929
320,mossel bay,-34.1831,22.146,286.11,73,100,7.93,ZA,1684027929
321,port lincoln,-34.7333,135.8667,292.05,40,100,2.37,AU,1684027930
322,codrington,-38.2667,141.9667,290.52,49,20,3.61,AU,1684027930
323,okhotsk,59.3833,143.3,278.87,62,26,3.81,RU,1684027931
324,neiafu,-18.65,-173.9833,299.53,83,75,5.14,TO,1684027931
325,lubao,14.9167,120.55,304.99,67,79,1.95,PH,1684027932
326,benguela,-12.5763,13.4055,296.33,86,100,1.3,AO,1684027932
327,puquio,-14.7,-74.1333,284.25,77,67,1.14,PE,1684027933
328,sarkisla,39.3519,36.4098,279.89,91,3,1.3,TR,1684027933
329,port mathurin,-19.6833,63.4167,298.69,74,4,6.76,MU,1684027934
330,hanzhong,33.0728,107.0303,295.78,58,0,0.13,CN,1684027935
331,baruun-urt,46.6806,113.2792,284.88,43,57,1.55,MN,1684027935
332,qaqortoq,60.7167,-46.0333,273.76,85,100,1.17,GL,1684027936
333,luziania,-16.2525,-47.9503,292.98,59,5,1.03,BR,1684027937
334,papar,5.7333,115.9333,302.15,84,97,2.68,MY,1684027937
335,naantali,60.4674,22.0243,281.4,80,0,1.03,FI,1684027938
336,lungani,47.1833,27.15,284.09,85,8,0.85,RO,1684027938
337,visby,57.6409,18.296,282.49,57,0,3.6,SE,1684027939
338,vadso,70.0744,29.7487,281.64,65,99,4.12,NO,1684027941
339,mont-dore,-22.2833,166.5833,298.71,99,100,6.45,NC,1684027942
340,selfoss,63.9331,-20.9971,278.17,96,100,10.83,IS,1684027943
341,sibut,5.718,19.0739,296.07,87,80,1.55,CF,1684027944
342,sault ste. marie,46.5168,-84.3333,291.31,39,0,4.12,CA,1684027817
343,kielce,50.8703,20.6275,280.94,1,55,2.35,PL,1684027945
344,kavieng,-2.5744,150.7967,301.6,76,100,0.77,PG,1684027945
345,praia,14.9215,-23.5087,296.45,78,75,4.63,CV,1684027946
346,hilo,19.7297,-155.09,301.08,75,75,4.63,US,1684027946
347,hiriyur,13.9456,76.6192,298.51,68,91,6.98,IN,1684027947
348,reedsburg,43.5325,-90.0026,294.77,61,40,5.14,US,1684027948
349,aripuana,-9.1667,-60.6333,297.81,84,90,0.69,BR,1684027948
350,fleurance,43.8482,0.663,285.7,99,66,4.41,FR,1684027949
351,rongelap,11.1635,166.8941,301.0,79,31,6.56,MH,1684027949
352,coari,-4.085,-63.1414,297.7,89,48,1.08,BR,1684027950
353,ca mau,9.1769,105.15,305.21,60,17,2.57,VN,1684027951
354,ust'-uda,54.1742,103.0304,276.95,30,56,6.08,RU,1684027951
355,tukrah,32.5341,20.5791,296.34,37,100,9.98,LY,1684027952
356,hassi messaoud,31.6804,6.0729,299.07,29,98,7.2,DZ,1684027952
357,chinde,26.8418,88.0763,297.46,34,43,1.89,NP,1684027953
358,boromo,11.75,-2.9333,304.3,43,98,2.56,BF,1684027953
359,pemangkat,1.1667,108.9667,301.97,73,90,1.55,ID,1684027953
360,changyon,38.2508,125.0961,293.13,60,10,3.67,KP,1684027954
361,prince rupert,54.3161,-130.3201,287.2,94,100,4.12,CA,1684027954
362,verkhnevilyuysk,63.4453,120.3167,281.26,56,100,3.54,RU,1684027955
363,solwezi,-12.1688,26.3894,286.05,67,32,0.94,ZM,1684027955
364,kyshtovka,56.555,76.6271,278.83,36,100,4.2,RU,1684027955
365,pacific grove,36.6177,-121.9166,298.92,83,0,2.57,US,1684027702
366,satka,55.0425,59.04,278.38,85,99,1.64,RU,1684027956
367,leava,-14.3,-178.1667,301.32,75,0,5.31,WF,1684027957
368,santiago de cao,-7.9589,-79.2392,296.22,83,100,3.09,PE,1684027957
369,arar,30.9753,41.0381,294.16,35,0,5.14,SA,1684027957
370,marine corps base hawaii - mcbh,21.4453,-157.7513,301.13,66,75,2.57,US,1684027958
371,moanda,-1.5575,13.2178,295.7,92,86,0.82,GA,1684027958
372,alaghsas,17.0187,8.0168,302.4,17,95,3.02,NE,1684027959
373,geraldton,-28.7667,114.6,290.38,72,0,5.14,AU,1684027959
374,saint-philippe,-21.3585,55.7679,296.92,82,40,2.45,RE,1684027959
375,omagh,54.6,-7.3,282.5,92,100,1.87,GB,1684027791
376,monteagudo,-19.8167,-63.9833,286.7,90,8,1.04,BO,1684027960
377,bel ombre,-4.6167,55.4167,301.06,83,40,2.57,SC,1684027961
378,camana,-16.6228,-72.7111,292.89,87,42,1.07,PE,1684027961
379,quellon,-43.1167,-73.6167,288.29,94,100,3.09,CL,1684027962
380,poxoreo,-15.8372,-54.3892,295.98,74,86,0.63,BR,1684027962
381,victorica,-36.2151,-65.4359,290.99,50,100,4.23,AR,1684027963
382,huarmey,-10.0681,-78.1522,295.32,81,0,3.11,PE,1684027963
383,marksville,31.128,-92.0662,299.29,73,64,3.02,US,1684027964
384,tabas,33.5959,56.9244,299.56,17,11,1.41,IR,1684027964
385,salekhard,66.53,66.6019,267.27,92,97,2.55,RU,1684027964
386,suruc,36.9761,38.425,289.43,68,0,6.18,TR,1684027965
387,lomo de arico,28.1667,-16.4833,291.24,62,0,6.69,ES,1684027965
388,wangjing,24.6,94.0333,292.14,92,100,1.9,IN,1684027966
389,patterson,37.4716,-121.1297,307.01,33,0,2.49,US,1684027863
390,cruzeiro do sul,-29.5128,-51.9853,286.77,89,6,1.64,BR,1684027967
391,walvis bay,-22.9575,14.5053,285.98,93,1,3.09,NA,1684027967
392,stornoway,58.2093,-6.3865,284.13,87,100,6.69,GB,1684027967
393,fort mcmurray,56.7268,-111.381,300.92,22,0,4.63,CA,1684027824
394,izamal,20.9333,-89.0167,302.08,47,5,4.9,MX,1684027837
395,la passe,45.5549,-0.8967,287.03,91,1,4.27,FR,1684027968
396,lebu,-37.6167,-73.65,285.02,92,100,3.5,CL,1684027969
397,rundu,-17.9333,19.7667,287.94,45,11,1.78,NA,1684027969
398,jinghong,21.991,100.7341,292.17,98,100,1.17,CN,1684027970
399,peace river,56.2501,-117.286,302.32,18,100,4.63,CA,1684027734
400,juan griego,11.0817,-63.9655,300.22,89,100,10.29,VE,1684027970
401,kakata,6.53,-10.3517,297.64,97,100,0.74,LR,1684027971
402,anar darah,32.7587,61.654,296.07,23,0,3.15,AF,1684027971
403,itupiranga,-5.1347,-49.3267,298.33,96,7,0.7,BR,1684027972
404,benghazi,32.1167,20.0667,296.52,39,98,8.82,LY,1684027972
405,linghai,41.1653,121.3667,292.73,54,0,7.6,CN,1684027973
406,ludington,43.9553,-86.4526,291.25,58,0,2.06,US,1684027973
407,faya-largeau,17.9257,19.1043,304.84,14,94,6.93,TD,1684027973
408,alice springs,-23.7,133.8833,293.9,30,75,5.66,AU,1684027974
409,sihanoukville,10.6093,103.5296,303.12,79,40,1.54,KH,1684027974
410,taroa,8.7058,171.2275,301.12,82,100,8.3,MH,1684027975
411,martuk,50.7475,56.5056,283.74,78,53,2.07,KZ,1684027975
412,kampong chhnang,12.1667,104.55,304.97,52,100,2.43,KH,1684027975
413,badger,64.8,-147.5333,292.59,30,20,6.69,US,1684027976
414,akjoujt,19.6969,-14.4164,304.75,18,72,7.6,MR,1684027976
415,kapa'a,22.0752,-159.319,301.14,79,100,7.2,US,1684027976
416,san patricio,28.017,-97.5169,298.08,84,97,3.07,US,1684027977
417,twon-brass,4.3151,6.2418,301.71,77,100,4.75,NG,1684027977
418,bereznik,62.8551,42.7072,276.66,84,7,0.7,RU,1684027978
419,ciudad lazaro cardenas,17.9583,-102.2,300.29,64,0,3.87,MX,1684027922
420,progreso,21.2833,-89.6667,307.21,48,32,6.39,MX,1684027978
421,broome,42.2506,-75.833,287.48,63,77,1.97,US,1684027979
422,touros,-5.1989,-35.4608,299.89,82,93,4.57,BR,1684027979
423,tadine,-21.55,167.8833,297.87,62,100,8.54,NC,1684027980
424,baran',54.4764,30.3181,282.45,68,12,2.52,BY,1684027980
425,san antonio de pale,-1.4014,5.6325,300.88,81,74,4.8,GQ,1684027980
426,fuling,29.7022,107.3919,296.92,64,100,0.03,CN,1684027981
427,puerto deseado,-47.7503,-65.8938,283.57,61,32,7.02,AR,1684027981
428,tobelo,1.7284,128.0095,302.84,71,16,1.75,ID,1684027982
429,novaya igirma,57.1334,103.9112,275.34,43,92,4.97,RU,1684027982
430,argostolion,38.1811,20.489,291.29,71,100,4.71,GR,1684027984
431,kill devil hills,36.0307,-75.676,295.36,77,40,7.72,US,1684027984
432,nuuk,64.1835,-51.7216,272.49,80,100,3.09,GL,1684027986
433,capo d'orlando,38.1435,14.7305,293.38,71,97,2.21,IT,1684027986
434,brak,27.5496,14.2714,297.37,22,0,5.14,LY,1684027987
435,ekibastuz,51.6667,75.3667,286.93,47,13,8.56,KZ,1684027987
